text,label
"在家电产品选材上，海尔智家众多产品都采用低碳环保材料，不仅能降低碳排放，还能回收循环再利用。同时在产品的功能设计上，海尔智家更是兼顾功能与体验，推出“可以洗空气的空调”等一系列绿色、低碳新物种。同样，在绿色经营上，海尔智家拥有全球首个碳中和“灯塔基地”海尔中德智慧园区，一举奠定其在产业领跑者地位；此外，海尔莱西再循环互联工厂一期项目，每年以拆解200万台废旧家电、改性造粒3万吨等能力，成为家电回收拆解行业的先行者。

比如，海尔博观冰箱是行业首个低碳聚氨酯材料冰箱，聚氨酯是绿色可回收材料，与传统原料相比降低50%碳排放。最让行业没想到的是，等到冰箱使用生命周期结束后，海尔智家还会对其进行回收循环再利用，实现全程跟踪全面践行“双碳”战略；领跑世界的海尔磁悬浮中央空调原创磁悬浮离心技术，能为建筑节能提高50%，省电则达一半以上。海尔燃电混动热水器，通过在清洁能源方案和节能技术方面的创新，大幅减少二氧化碳排放。



作者：家电圈
链接：https://xueqiu.com/4582457192/227593256
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"LV日前发布三款全新LV Trainer鞋款，集创造力、可持续性与环保设计于一体，均采用90%可回收和生物面料制成，鞋面材料融合了可回收聚酯纤维与玉米基塑料，鞋带的材料则来自回收塑料，鞋舌同样采用可回收聚氨酯，鞋盒为100%可回收和可循环利用纸板。



作者：DoNews
链接：https://xueqiu.com/5133207869/225962487
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"根据共青团贵州省委统筹协调，华贵保险通过贵州省志愿者行动指导中心（贵州省青少年维权中心），向全省抗疫志愿者捐赠了团体意外伤害及意外伤害医疗保险。其中，意外伤害保险金（扩展新冠肺炎导致的身故责任），保险金额为10万元/人；意外伤害医疗保险金，保险金额为5000元/人。自贵阳本轮疫情发生以来，华贵保险全体党员干部员工积极贯彻省金融行业综合党委的倡议，勇担责任、主动作为，已有20多位党员干部、预备党员、入党积极分子参加了抗疫志愿者，奋战在抗疫一线。



作者：千家报
链接：https://xueqiu.com/7899695254/232226055
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"苹果向来以关注隐私著称，其首席执行官蒂姆·库克（Tim Cook）甚至宣称“隐私属于基本人权”。然而，苹果公司的许多员工抱怨称，他们的大量个人数据被鼓励存储在工作设备上，苹果却未能保护好“自己人的隐私”。
",0
"每经AI快讯，理工环科7月26日晚间发布公告称，公司拟于2021年内推出员工持股计划。在符合相关法律法规规定的前提下，本次员工持股计划所持有的公司股票总数累计不超过公司股本总额的6.19%，单一持有人持有的员工持股计划份额所对应的公司股票数量不超过公司股本总额的1%，员工持股计划的总规模预计不超过约2451万股。



作者：每日经济新闻
链接：https://xueqiu.com/4642157440/192116970
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"自设立以来，尚太科技一直高度重视环境保护问题，按照环保有关法律法规的要求，在生产过程中配备相应环保设施，建立健全环境保护处理和责任制度，以杜绝环境污染。尚太科技主要产品生产过程中会产生颗粒物、二氧化硫和氮氧化物等污染物，均按照国家有关规定进行集中处理后排放，符合国家环保的相关标准。



作者：大汪财经
链接：https://xueqiu.com/8653915216/229028588
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"此外，拼多多APP还被多次曝光涉嫌窃取用户通讯录，严重侵犯了用户隐私权。

在去年爆出员工猝死后，拼多多又被爆出喊话“用钱换命”的言论后，舆论口碑一时跌入谷底。



作者：郑荣南Zeke
链接：https://xueqiu.com/2684655177/210281666
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",0
"日前，高露洁与公司技术研发团队共同推出的新型可回收牙膏用塑料薄膜项目顺利通过高露洁（全球）技术认证，这在永新股份（002014）与高露洁（全球）的战略合作上具有里程碑意义，也标志着高露洁与永新股份在绿色包装可持续发展的研发上迈上了新台阶。

　　作为高露洁（全球）的战略合作伙伴和卓越供应商，此次牙膏用薄膜可回收项目的成功验证，是双方战略互信的成果，更是高露洁与永新股份在全球绿色循环经济道路上携手共进的见证。未来，公司将和高露洁（全球）共同努力，立足“包装2025”战略，持续开发推广单一材质、可回收等环境友好型材料，推进柔性包装的设计应用，争当中国塑料软包装行业绿色可持续发展的领跑者。",1
"通用汽车与LG化学成立电池合资公司Ultium Cells以量产Ultium电池，提升其在美国新能源汽车市场所占份额。Ultium Cells将与Li-Cycle合作处理生产废料，预计在今年实现对电池生产过程中所产生的废料进行回收。



作者：车云网
链接：https://xueqiu.com/8770626514/179876775
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"近年来，中国江苏省家电行业中游镀锌钢材龙头企业康利国际控股有限公司(HKEX: 06890)在节水节能方面投入了大量资金。

在当前钢铁产品生产企业在生产过程中高能耗、高水耗不可避免的情况下，康利国际坚持加强硬件建设和软件更新。康利国际被评为江苏省节水示范企业。此外，康利国际是2021年常州市节能与循环经济发展专项资金的获得单位之一。



作者：金评媒
链接：https://xueqiu.com/4840637746/200841175
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
